Amount Stolen (crypto),City,Closed,Company Name,Country,Details,F14,F15,F3,Link,Month,Type of Crypto Affected,Year,Amount Stolen (USD),Amount Today (19/11/2021)
"3,000",,Yes,Kipcoin,China,,,,01-Feb-15,https://www.newsbtc.com/news/chinese-bitcoin-exchange-kipcoin-shuts-claims-losing-3000-btc-hackers/,February,Bitcoin (BTC),2015,700260,171042000
"49000 MERL
(240 ETH)",,Yes,Merlin Lab,/,,https://coinfomania.com/bsc-merlin-lab-ceases-operation-token-dumps-to-0-2/,,01-May-21,https://rekt.news/merlinlabs-rekt/,May,Merlin (MERL),2021,680000,1033308
"125,585",,No,Wild Credit,/,,https://twitter.com/mudit__gupta/status/1397888546686398470?lang=en,,01-May-21,https://twitter.com/WildCredit/status/1397848317741002755,May,Bancor,2021,637000,498572.5
"2,378",Atlanta,No,bZx,United States,Flash Loan,,,01-Feb-20,https://newsletter.thedefiant.io/p/arbs-exploit-defi-to-make-900k-in,February,Ethereum (ETH),2020,600000,10238360.1
200 ETH,,Yes,Merlin Lab,/,,,,01-May-21,https://rekt.news/merlin2-rekt/,May,Band Protocol (BAND),2021,550000,861090
229.84 ETH,Palo Alto,No,Impossible Finance,United States,Flash Loan,,,01-Jun-21,https://decrypt.co/74105/binance-smart-chain-defi-project-impossible-finance-hacked,June,Impossible Finance (IF),2021,500000,989564.6
,Florida,No,Balancer,United States,Flash Loan,,,01-Jun-20,https://www.coindesk.com/markets/2020/06/29/hacker-drains-500k-from-defi-liquidity-provider-balancer/,June,"Weth (WETH)
Statera (STA)",2020,500000,500000
,,No,VinDax,Vietnam,,,,01-Nov-19,https://www.theblockcrypto.com/post/46408/little-known-asian-crypto-exchange-vindax-got-hacked-lost-half-a-million-usd-worth-of-tokens,November,23 different currencies,2019,500000,500000
"2,000,000",Central Region,No,Nuls,Singapore,,,,01-Dec-19,https://cointelegraph.com/news/hackers-grab-nearly-480k-from-blockchain-platform-nuls,December,Nuls Token (NULS),2019,480000,1059720
"14,800,000",,No,Force DAO,/,One of the attackers returned what he stole,https://cryptonetwork.news/force-dao-protocol-hacked/,,01-Apr-21,https://www.coindesk.com/markets/2021/04/04/defi-hedge-fund-force-dao-attacked-force-token-plunges/,April,Force Dao (DAO),2021,376000,126501.5
"371,260",San Francisco,No,Opyn,United States,,,,01-Aug-20,https://decrypt.co/37671/blatant-bug-led-to-370000-defi-hack-say-experts,August,USD Coin (USDC),2020,371260,371260
,,Yes,Merlin Lab,/,,,,01-May-21,https://rekt.news/merlin3-rekt/,May,Merlin (MERL),2021,330000,330000
"1,271",Atlanta,No,bZx,United States,Flash Loan,,,01-Feb-20,https://newsletter.thedefiant.io/p/arbs-exploit-defi-to-make-900k-in,February,Ethereum (ETH),2020,320000,5472227
"40000 (BTC)
40000 (USD)",,Yes,Bitcoinica,New Zealand,there were beliefs that it was the Founder,,,01-Jul-12,https://bitcoinmagazine.com/business/the-july-13-bitcoinica-investigation-and-sound-justice-1343490976,July,"Bitcoin (BTC)
US DOllar (USD)",2012,305200,2280560000
42,New York,No,Uniswap,United States,,,,01-Apr-20,https://www.theblockcrypto.com/amp/linked/62346/multicoin-capital-backed-defi-protocol-dforce-loses-25m-total-locked-value-in-an-exploit,April,The Tokenized Bitcoin (IMBTC),2020,300000,2420969
308 (ETH),Illinois,No,EtherDelta,United States,,,,01-Dec-17,https://news.bitcoin.com/one-week-etherdelta-hack-funds-still-stolen/,December,"Ethereum (ETH)
Others",2017,270000,270000
"17,000",,Yes,Bitomat,Poland,Were bought by MT Gox,,,01-Jul-11,https://bitcoinmagazine.com/markets/infographic-overview-compromised-bitcoin-exchange-events-2,July,Bitcoin (BTC),2011,261800,969238000
"24,000",New York,Yes,BitFloor,United States,,,,01-Sep-12,https://bitcoinmagazine.com/business/bitfloor-hacked-250000-missing-1346821046,September,Bitcoin (BTC),2012,250000,1368336000
"USDC
USDT",California,No,SafeDollar,United States,,,,01-Jun-21,https://beincrypto.com/defi-exploit-streak-hits-polygon-safedollar-crashes-zero/,June,"SafeDollar (SDO)
USD Coin (USDC)
Tether (USDT)",2021,248000,248000
"43,554",,Yes,Bitcoinica,New Zealand,Due to cloud hosting provider Linode,,,01-Mar-12,https://siliconangle.com/2012/03/02/linode-breach-leads-to-massive-heist-of-46000-btc-from-bitcoinica-faucet/,March,Bitcoin (BTC),2012,214285.68,2483187756
,,No,IronFinance,/,,,,01-Mar-21,https://beincrypto.com/iron-finance-defi-exploit-explained-post-mortem/,March,SIL Tokens,2021,170000,170000
"1,454",,Yes,Vircurex,China,,https://www.nasdaq.com/articles/infographic%3A-an-overview-of-compromised-bitcoin-exchange-events-2020-02-25,,01-May-13,https://www.coindesk.com/markets/2018/01/12/former-customers-sue-crypto-exchange-vircurex-over-frozen-funds/,May,Bitcoin (BTC),2013,169216.52,82898356
"9352.49 (PERP)
1.44 (YFI)
2437.94 (SUSHI)
10.62 (ETH)",Zug,No,THORChain,Switzerland,,,,01-Jul-21,https://medium.com/thorchain/eth-parsing-error-and-exploit-3b343aa6466f,July,"Perpetual Protocol (PERP)
yearn.finance (YFI)
SushiSwap (SUSHI)
Ethereum (ETH)",2021,139000,224739.5
73000,,No,Monappy,Japan,,https://cointelegraph.com/news/japan-hacker-involved-in-15-mln-yen-crypto-theft-referred-to-prosecutors,,01-Aug-18,https://cryptomode.com/the-monappy-and-monacoin-web-wallet-hacker-is-a-japanese-teenager/,August,MonaCoin (MONA),2018,134196,129940
"1,300",,No,PicoStocks,Marshall Islands,,https://coiniq.com/cryptocurrency-exchange-hacks/,,01-Jun-13,https://www.wired.com/2017/05/one-scrappy-startup-survived-early-bitcoin-wars/,June,Bitcoin (BTC),2013,130000,74118200
315,,No,ShapeShift,Switzerland,,,,01-Mar-16,,March,Bitcoin (BTC),2016,130000,17959410
,,Yes,Levyathan,/,,,,01-Jul-21,https://www.bsc.news/post/levyathan-falls-casualty-to-unlimited-mint-exploit-despite-certik-audit,July,Levyathan Token (LEV),2021,100000,0
485,,Yes,Bitcash,Czech Republic,,,,01-Nov-13,https://cointelegraph.com/news/hackers_attacked_czech_bitcoin_exchange_and_emptied_users_wallets,November,Bitcoin (BTC),2013,100000,27651790
"97 (BTC)
3600 (ETH)
1900 (LTC)",,No,ShapeShift,Switzerland,All 3 attacks within a month all from or due to one employee,,,01-Apr-16,https://www.coindesk.com/markets/2016/04/18/shapeshift-lost-230k-in-string-of-thefts-report-finds/,April,"Bitcoin (BTC)
Ethereum (ETH)
Litecoin (LTC)",2016,100000,21403290
"18,547",,Yes,Bitcoinica,New Zealand,,,,01-May-12,https://threatpost.com/breach-bitcoinica-exchange-nets-87000-online-currency-051412/76559/,May,Bitcoin (BTC),2012,87000,1057438658
"1,500,000",,No,Crypto Rush,/,,,,01-Mar-14,https://www.blackenterprise.com/currency-heist-steals-70000-bitcoin/,March,Blackcoin,2014,70000,80664
"6.929 coins (BTC)
23.210 coins (ETH)
3924082 coins (ARRR)
414154 coins (VRSC)
1066 coins (KMD)",,Yes,Altsbit,Italy,,https://cointelegraph.com/news/hacked-italian-exchange-altsbit-to-shut-down-in-may-2020,,01-Feb-20,https://www.zdnet.com/article/altsbit-says-hack-has-left-the-cryptocurrency-exchange-with-next-to-no-funds/,February,"Bitcoin (BTC)
Ethereum (ETH)
Pirate Coin (ARRR)
Verus (VRSC)
Komodo (KMD)",2020,70000,7895034.6
,Christchurch,Yes,Cryptopia,New Zealand,,,,01-Feb-21,https://www.stuff.co.nz/national/crime/124249161/assets-worth-62000-allegedly-stolen-from-liquidated-company-cryptopia,February,Stakenet (XSN),2021,62000,62000
77,Delaware,No,Poloniex,United States,,,,01-Mar-14,https://arstechnica.com/information-technology/2014/03/yet-another-exchange-hacked-poloniex-loses-around-50000-in-bitcoin/,March,Bitcoin (BTC),2014,50000,4390078
"146,359",Paris,No,Leo Finance,France,,,,01-Oct-20,https://www.cryptopolitan.com/wleo-defi-project-hacked-again/,October,Wrapped Leo (WLEO),2020,40000,39641.3
"165.38 (ETH)
4000 USD (BOOTY)",California,No,Spank Chain,United States,,,,01-Oct-18,https://cointelegraph.com/news/hackers-breach-smart-contract-on-ethereum-based-adult-entertainment-platform-spankchain,October,"Ethereum (ETH)
Booty (BOOTY)",2018,38000,712035.3
7.95205862,Helsinki,No,LocalBitcoins,Finland,,,,01-Jan-19,https://www.zdnet.com/article/localbitcoins-blames-security-breach-on-forum-third-party-software/,January,Bitcoin (BTC),2019,28200,453378.7
"1,000",,Yes,796,China,,,,01-Jan-15,https://cointelegraph.com/news/chinese-exchange-suffers-1000-btc-loss-in-uncertain-service-compromise,January,Bitcoin,2015,26335,57014000
"5,000",,Yes,Bitcoin7,Bulgaria,,,,01-Oct-11,https://news.bitcoin.com/bitcoin-exchange-thefts-forgotten/,October,Bitcoin (BTC),2011,25150,285070000
"2,000",Shibuya,Yes,MT Gox,Japan,,,,01-Jun-11,https://blockonomi.com/mt-gox-hack/,June,Bitcoin (BTC),2011,19140,114028000
"200,000,000",,No,Crex24,Estonia,,,,01-Feb-20,https://cointelegraph.com/news/crex24-exchange-accused-of-hiding-hack-from-customers,February,HTML Coin (HTML),2020,11200,32058
,Tokyo,No,Sushi (sushiSwap),Japan,,,,01-Nov-20,https://cointelegraph.com/news/as-token-price-rises-and-reputation-mends-sushiswap-foils-midnight-exploit,November,"Wrapped Ethereum (WETH)
Maker (MKR)",2020,10000,10000
17,Helsinki,No,LocalBitcoins,Finland,,,,01-Jan-15,https://www.coindesk.com/markets/2015/01/29/localbitcoins-user-funds-stolen-after-chat-client-hack/,January,Bitcoin (BTC),2015,3966.95,969238
10,Florida,No,Balancer,United States,Flash Loan,,,01-Jun-20,https://cointelegraph.com/news/hacker-steals-balancers-comp-allowance-in-second-attack-within-24-hours,June,Compound Token (COMP),2020,2300,2840.6
,,No,inputs.io,Australia,,,,01-Oct-13,https://www.wired.com/2013/11/inputs/,October,Bitcoin (BTC),2013,,
,,Yes,Cointrader,Canada,Alleged Hack,,,01-Mar-16,https://www.coindesk.com/markets/2016/03/30/bitcoin-exchange-cointrader-shuts-down-after-alleged-hack/,March,Bitcoin (BTC),2016,,
"3,000",Prague,No,Slush,Czech Republic,Due to cloud hosting provider Linode,,,01-Mar-12,https://bitcoinmagazine.com/business/the-bitcoinica-linode-theft-and-what-it-means-for-bitcoin-1330805009,March,Bitcoin (BTC),2012,,171042000
,,Yes,Bitcurex,Poland,,,,01-Mar-14,https://www.coindesk.com/markets/2014/03/14/polish-bitcoin-exchange-bitcurex-targeted-by-hacking-attack/,March,Bitcoin (BTC),2014,,
,,Yes,LiveCoin,Russia,,,,01-Dec-20,https://www.zdnet.com/article/russian-crypto-exchange-livecoin-hacked-after-it-lost-control-of-its-servers/,December,"Bitcoin (BTC)
Ethereum (ETH)",2020,,
"57 (BTC)
2200 (ETH)",,No,ShapeShift,Switzerland,,,,01-Apr-16,https://news.bitcoin.com/looting-fox-sabotage-shapeshift/,April,"Bitcoin (BTC) 
Ethereum (ETH)",2016,,12721788
